  cell  ,E,W,N,S
"(98, 1)",0,0,1,1
"(99, 1)",0,0,1,1
"(100, 1)",1,0,1,1
"(101, 1)",0,0,1,1
"(102, 1)",0,0,1,0
"(103, 1)",1,0,0,1
"(104, 1)",1,0,1,1
"(105, 1)",0,0,1,1
"(106, 1)",0,0,1,0
"(107, 1)",1,0,0,1
"(108, 1)",1,0,1,1
"(109, 1)",0,0,1,1
"(110, 1)",1,0,1,0
"(111, 1)",1,0,0,1
"(112, 1)",1,0,1,0
"(113, 1)",1,0,0,1
"(114, 1)",1,0,1,0
"(115, 1)",1,0,0,1
"(116, 1)",0,0,1,1
"(117, 1)",0,0,1,1
"(118, 1)",1,0,1,0
"(119, 1)",1,0,0,1
"(120, 1)",0,0,1,1
"(121, 1)",1,0,1,1
"(122, 1)",0,0,1,1
"(123, 1)",0,0,1,1
"(124, 1)",1,0,1,0
"(125, 1)",1,0,0,1
"(126, 1)",0,0,1,1
"(127, 1)",0,0,1,1
"(128, 1)",1,0,1,0
"(129, 1)",1,0,0,1
"(130, 1)",0,0,1,1
"(131, 1)",0,0,1,1
"(132, 1)",1,0,1,0
"(133, 1)",0,0,0,1
"(134, 1)",0,0,1,1
"(135, 1)",1,0,1,1
"(136, 1)",0,0,1,1
"(137, 1)",0,0,1,1
"(138, 1)",0,0,1,1
"(139, 1)",0,0,1,1
"(140, 1)",0,0,1,1
"(141, 1)",0,0,1,1
"(142, 1)",1,0,1,1
"(143, 1)",0,0,1,1
"(144, 1)",1,0,1,0
"(145, 1)",1,0,0,1
"(146, 1)",0,0,1,1
"(147, 1)",0,0,1,1
"(148, 1)",0,0,1,1
"(149, 1)",0,0,1,1
"(150, 1)",1,0,1,1
"(151, 1)",0,0,1,1
"(152, 1)",1,0,1,0
"(153, 1)",0,0,0,1
"(154, 1)",0,0,1,1
"(155, 1)",1,0,1,1
"(156, 1)",1,0,1,1
"(157, 1)",0,0,1,1
"(158, 1)",0,0,1,1
"(159, 1)",0,0,1,1
"(160, 1)",1,0,1,0
"(161, 1)",1,0,0,1
"(162, 1)",0,0,1,0
"(163, 1)",1,0,0,1
"(164, 1)",0,0,1,1
"(165, 1)",1,0,1,1
"(166, 1)",0,0,1,0
"(167, 1)",1,0,0,1
"(168, 1)",0,0,1,1
"(169, 1)",0,0,1,1
"(170, 1)",1,0,1,1
"(171, 1)",0,0,1,0
"(172, 1)",1,0,0,1
"(173, 1)",0,0,1,1
"(174, 1)",0,0,1,1
"(175, 1)",0,0,1,1
"(176, 1)",1,0,1,1
"(177, 1)",0,0,1,1
"(178, 1)",0,0,1,1
"(179, 1)",1,0,1,0
"(180, 1)",1,0,0,1
"(181, 1)",0,0,1,1
"(182, 1)",0,0,1,0
"(183, 1)",1,0,0,1
"(184, 1)",1,0,1,0
"(185, 1)",1,0,0,1
"(186, 1)",0,0,1,1
"(187, 1)",0,0,1,1
"(188, 1)",1,0,1,1
"(189, 1)",0,0,1,1
"(190, 1)",1,0,1,0
"(191, 1)",0,0,0,1
"(192, 1)",1,0,1,1
"(193, 1)",0,0,1,1
"(194, 1)",1,0,1,0
"(195, 1)",1,0,0,1
"(196, 1)",0,0,1,1
"(197, 1)",0,0,1,1
"(198, 1)",0,0,1,1
"(199, 1)",1,0,1,0
"(200, 1)",1,0,0,0
"(1, 2)",0,1,0,1
"(2, 2)",0,1,1,0
"(3, 2)",1,0,0,1
"(4, 2)",0,0,1,0
"(5, 2)",1,0,0,1
"(6, 2)",0,1,1,0
"(7, 2)",0,1,0,0
"(8, 2)",0,1,0,1
"(9, 2)",1,0,1,1
"(10, 2)",1,0,1,0
"(11, 2)",1,0,0,1
"(12, 2)",1,0,1,0
"(13, 2)",0,0,0,1
"(14, 2)",1,0,1,0
"(15, 2)",1,1,0,0
"(16, 2)",0,1,0,0
"(17, 2)",1,0,0,1
"(18, 2)",1,0,1,0
"(19, 2)",0,1,0,1
"(20, 2)",1,0,1,0
"(21, 2)",1,0,0,0
"(22, 2)",1,1,0,0
"(23, 2)",0,1,0,1
"(24, 2)",0,0,1,0
"(25, 2)",0,1,0,1
"(26, 2)",1,0,1,0
"(27, 2)",0,1,0,0
"(28, 2)",1,1,0,0
"(29, 2)",0,1,0,1
"(30, 2)",0,0,1,1
"(31, 2)",0,0,1,1
"(32, 2)",0,0,1,1
"(33, 2)",0,0,1,1
"(34, 2)",0,1,1,0
"(35, 2)",1,0,0,0
"(36, 2)",0,1,0,1
"(37, 2)",0,1,1,0
"(38, 2)",1,1,0,0
"(39, 2)",1,0,0,1
"(40, 2)",0,0,1,1
"(41, 2)",0,0,1,1
"(42, 2)",0,0,1,1
"(43, 2)",0,0,1,1
"(44, 2)",0,1,1,0
"(45, 2)",1,0,0,1
"(46, 2)",0,0,1,0
"(47, 2)",1,1,0,0
"(48, 2)",0,1,0,1
"(49, 2)",0,1,1,0
"(50, 2)",1,0,0,0
"(51, 2)",0,1,0,1
"(52, 2)",1,1,1,0
"(53, 2)",1,0,0,1
"(54, 2)",0,0,1,1
"(55, 2)",0,1,1,0
"(56, 2)",1,0,0,0
"(57, 2)",0,1,0,1
"(58, 2)",0,1,1,0
"(59, 2)",1,0,0,1
"(60, 2)",1,0,1,0
"(61, 2)",1,1,0,0
"(62, 2)",1,0,0,1
"(63, 2)",0,1,1,0
"(64, 2)",0,1,0,1
"(65, 2)",0,0,1,0
"(66, 2)",1,0,0,1
"(67, 2)",1,0,1,0
"(68, 2)",1,1,0,0
"(69, 2)",1,0,0,0
"(70, 2)",0,1,0,1
"(71, 2)",1,0,1,0
"(72, 2)",0,1,0,1
"(73, 2)",0,0,1,0
"(74, 2)",1,0,0,1
"(75, 2)",1,0,1,0
"(76, 2)",0,1,0,0
"(77, 2)",1,0,0,1
"(78, 2)",0,0,1,1
"(79, 2)",1,0,1,0
"(80, 2)",0,1,0,1
"(81, 2)",1,1,1,0
"(82, 2)",1,1,0,0
"(83, 2)",0,1,0,0
"(84, 2)",1,0,0,1
"(85, 2)",0,0,1,1
"(86, 2)",0,1,1,0
"(87, 2)",1,1,0,0
"(88, 2)",1,0,0,1
"(89, 2)",1,0,1,0
"(90, 2)",0,1,0,1
"(91, 2)",1,0,1,0
"(92, 2)",1,1,0,0
"(93, 2)",1,0,0,0
"(94, 2)",1,0,0,1
"(95, 2)",0,0,1,1
"(96, 2)",1,0,1,0
"(97, 2)",0,1,0,0
"(98, 2)",1,0,0,1
"(99, 2)",1,0,1,0
"(100, 2)",0,1,0,1
"(101, 2)",1,0,1,1
"(102, 2)",1,0,1,0
"(103, 2)",1,1,0,0
"(104, 2)",0,1,0,1
"(105, 2)",0,0,1,1
"(106, 2)",0,0,1,1
"(107, 2)",0,1,1,0
"(108, 2)",1,1,0,0
"(109, 2)",1,0,0,0
"(110, 2)",1,1,0,0
"(111, 2)",1,1,0,0
"(112, 2)",0,1,0,0
"(113, 2)",1,1,0,0
"(114, 2)",0,1,0,1
"(115, 2)",0,1,1,1
"(116, 2)",0,0,1,1
"(117, 2)",0,0,1,0
"(118, 2)",0,1,0,1
"(119, 2)",0,1,1,0
"(120, 2)",1,0,0,1
"(121, 2)",0,1,1,0
"(122, 2)",1,0,0,1
"(123, 2)",1,0,1,0
"(124, 2)",1,1,0,0
"(125, 2)",1,1,0,1
"(126, 2)",0,0,1,1
"(127, 2)",1,0,1,0
"(128, 2)",0,1,0,1
"(129, 2)",0,1,1,0
"(130, 2)",1,0,0,1
"(131, 2)",0,0,1,0
"(132, 2)",0,1,0,1
"(133, 2)",0,0,1,1
"(134, 2)",1,0,1,0
"(135, 2)",0,1,0,1
"(136, 2)",0,0,1,1
"(137, 2)",1,0,1,0
"(138, 2)",1,0,0,1
"(139, 2)",1,0,1,0
"(140, 2)",1,0,0,1
"(141, 2)",0,0,1,1
"(142, 2)",0,1,1,0
"(143, 2)",1,0,0,0
"(144, 2)",1,1,0,0
"(145, 2)",1,1,0,0
"(146, 2)",1,0,0,1
"(147, 2)",0,0,1,1
"(148, 2)",0,0,1,1
"(149, 2)",1,0,1,0
"(150, 2)",0,1,0,1
"(151, 2)",1,0,1,0
"(152, 2)",1,1,0,0
"(153, 2)",1,0,0,1
"(154, 2)",1,0,1,0
"(155, 2)",0,1,0,0
"(156, 2)",0,1,0,1
"(157, 2)",1,0,1,0
"(158, 2)",1,0,0,1
"(159, 2)",0,0,1,0
"(160, 2)",1,1,0,0
"(161, 2)",1,1,0,1
"(162, 2)",1,0,1,0
"(163, 2)",1,1,0,1
"(164, 2)",0,0,1,0
"(165, 2)",0,1,0,1
"(166, 2)",0,0,1,1
"(167, 2)",0,1,1,1
"(168, 2)",0,0,1,1
"(169, 2)",1,0,1,0
"(170, 2)",0,1,0,1
"(171, 2)",0,0,1,1
"(172, 2)",0,1,1,0
"(173, 2)",1,0,0,0
"(174, 2)",1,0,0,1
"(175, 2)",0,0,1,1
"(176, 2)",0,1,1,0
"(177, 2)",1,0,0,1
"(178, 2)",1,0,1,0
"(179, 2)",1,1,0,0
"(180, 2)",1,1,0,1
"(181, 2)",1,0,1,0
"(182, 2)",1,0,0,1
"(183, 2)",0,1,1,0
"(184, 2)",0,1,0,1
"(185, 2)",0,1,1,0
"(186, 2)",1,0,0,1
"(187, 2)",0,0,1,1
"(188, 2)",0,1,1,0
"(189, 2)",1,0,0,0
"(190, 2)",0,1,0,1
"(191, 2)",0,0,1,1
"(192, 2)",0,1,1,0
"(193, 2)",1,0,0,0
"(194, 2)",1,1,0,0
"(195, 2)",0,1,0,1
"(196, 2)",0,0,1,1
"(197, 2)",1,0,1,0
"(198, 2)",1,0,0,0
"(199, 2)",0,1,0,1
"(200, 2)",1,1,1,0
"(1, 3)",1,0,0,1
"(2, 3)",1,0,1,0
"(3, 3)",1,1,0,1
"(4, 3)",1,0,1,0
"(5, 3)",1,1,0,0
"(6, 3)",1,0,0,1
"(7, 3)",0,0,1,1
"(8, 3)",1,0,1,0
"(9, 3)",0,1,0,0
"(10, 3)",1,1,0,0
"(11, 3)",1,1,0,0
"(12, 3)",0,1,0,1
"(13, 3)",0,0,1,1
"(14, 3)",0,1,1,0
"(15, 3)",0,1,0,1
"(16, 3)",0,0,1,1
"(17, 3)",0,1,1,0
"(18, 3)",0,1,0,1
"(19, 3)",0,0,1,1
"(20, 3)",0,1,1,0
"(21, 3)",1,1,0,0
"(22, 3)",0,1,0,1
"(23, 3)",0,0,1,1
"(24, 3)",0,0,1,1
"(25, 3)",1,0,1,0
"(26, 3)",1,1,0,0
"(27, 3)",1,0,0,1
"(28, 3)",0,1,1,0
"(29, 3)",1,0,0,1
"(30, 3)",0,0,1,1
"(31, 3)",0,0,1,1
"(32, 3)",0,0,1,1
"(33, 3)",1,0,1,1
"(34, 3)",1,0,1,1
"(35, 3)",0,1,1,1
"(36, 3)",0,0,1,0
"(37, 3)",1,0,0,1
"(38, 3)",0,1,1,0
"(39, 3)",1,1,0,0
"(40, 3)",1,0,0,1
"(41, 3)",1,0,1,0
"(42, 3)",1,0,0,1
"(43, 3)",0,0,1,1
"(44, 3)",0,0,1,1
"(45, 3)",0,1,1,1
"(46, 3)",1,0,1,0
"(47, 3)",1,1,0,0
"(48, 3)",0,0,0,1
"(49, 3)",1,0,1,1
"(50, 3)",0,1,1,0
"(51, 3)",1,0,0,1
"(52, 3)",1,1,1,0
"(53, 3)",0,1,0,1
"(54, 3)",0,0,1,1
"(55, 3)",0,0,1,1
"(56, 3)",0,1,1,1
"(57, 3)",0,0,1,1
"(58, 3)",1,0,1,0
"(59, 3)",1,1,0,0
"(60, 3)",0,1,0,1
"(61, 3)",0,1,1,0
"(62, 3)",1,1,0,0
"(63, 3)",0,0,0,1
"(64, 3)",1,0,1,1
"(65, 3)",0,0,1,1
"(66, 3)",0,1,1,0
"(67, 3)",0,1,0,1
"(68, 3)",0,1,1,0
"(69, 3)",1,1,0,1
"(70, 3)",1,0,1,1
"(71, 3)",0,1,1,1
"(72, 3)",0,0,1,1
"(73, 3)",0,0,1,1
"(74, 3)",0,1,1,0
"(75, 3)",0,1,0,1
"(76, 3)",0,0,1,1
"(77, 3)",0,1,1,0
"(78, 3)",1,0,0,0
"(79, 3)",0,1,0,1
"(80, 3)",1,0,1,0
"(81, 3)",1,1,0,0
"(82, 3)",0,1,0,1
"(83, 3)",0,0,1,1
"(84, 3)",0,1,1,0
"(85, 3)",1,0,0,1
"(86, 3)",1,0,1,0
"(87, 3)",0,1,0,1
"(88, 3)",0,1,1,0
"(89, 3)",0,1,0,1
"(90, 3)",1,0,1,0
"(91, 3)",1,1,0,0
"(92, 3)",0,1,0,1
"(93, 3)",0,1,1,0
"(94, 3)",0,1,0,1
"(95, 3)",1,0,1,0
"(96, 3)",0,1,0,1
"(97, 3)",1,0,1,0
"(98, 3)",1,1,0,0
"(99, 3)",0,1,0,1
"(100, 3)",1,0,1,0
"(101, 3)",1,1,0,0
"(102, 3)",0,1,0,1
"(103, 3)",0,1,1,0
"(104, 3)",1,0,0,1
"(105, 3)",0,0,1,1
"(106, 3)",0,0,1,1
"(107, 3)",1,0,1,0
"(108, 3)",1,1,0,0
"(109, 3)",1,1,0,1
"(110, 3)",0,1,1,1
"(111, 3)",0,1,1,0
"(112, 3)",1,0,0,1
"(113, 3)",0,1,1,0
"(114, 3)",1,0,0,0
"(115, 3)",1,0,0,1
"(116, 3)",0,0,1,1
"(117, 3)",0,0,1,1
"(118, 3)",0,0,1,1
"(119, 3)",1,0,1,0
"(120, 3)",1,1,0,0
"(121, 3)",1,0,0,0
"(122, 3)",1,1,0,0
"(123, 3)",0,1,0,1
"(124, 3)",0,1,1,0
"(125, 3)",1,1,0,1
"(126, 3)",0,0,1,0
"(127, 3)",1,1,0,0
"(128, 3)",1,0,0,1
"(129, 3)",0,0,1,1
"(130, 3)",0,1,1,0
"(131, 3)",1,0,0,1
"(132, 3)",0,0,1,1
"(133, 3)",1,0,1,0
"(134, 3)",1,1,0,0
"(135, 3)",1,0,0,1
"(136, 3)",1,0,1,0
"(137, 3)",1,1,0,0
"(138, 3)",1,1,0,0
"(139, 3)",1,1,0,0
"(140, 3)",0,1,0,1
"(141, 3)",0,0,1,1
"(142, 3)",1,0,1,0
"(143, 3)",1,1,0,1
"(144, 3)",0,1,1,0
"(145, 3)",1,1,0,0
"(146, 3)",0,1,0,1
"(147, 3)",0,0,1,1
"(148, 3)",1,0,1,0
"(149, 3)",1,1,0,0
"(150, 3)",1,0,0,1
"(151, 3)",0,1,1,0
"(152, 3)",0,1,0,1
"(153, 3)",0,1,1,0
"(154, 3)",0,1,0,1
"(155, 3)",0,0,1,1
"(156, 3)",0,0,1,1
"(157, 3)",0,1,1,0
"(158, 3)",1,1,0,0
"(159, 3)",1,0,0,1
"(160, 3)",0,1,1,0
"(161, 3)",0,1,0,0
"(162, 3)",0,1,0,1
"(163, 3)",0,1,1,0
"(164, 3)",1,0,0,1
"(165, 3)",0,0,1,1
"(166, 3)",0,0,1,1
"(167, 3)",1,0,1,0
"(168, 3)",1,0,0,1
"(169, 3)",0,1,1,0
"(170, 3)",0,0,0,1
"(171, 3)",1,0,1,1
"(172, 3)",1,0,1,0
"(173, 3)",1,1,0,0
"(174, 3)",1,1,0,0
"(175, 3)",0,0,0,1
"(176, 3)",1,0,1,1
"(177, 3)",0,1,1,0
"(178, 3)",1,1,0,0
"(179, 3)",1,1,0,0
"(180, 3)",1,1,0,0
"(181, 3)",0,1,0,1
"(182, 3)",0,1,1,0
"(183, 3)",1,0,0,1
"(184, 3)",0,0,1,1
"(185, 3)",1,0,1,0
"(186, 3)",1,1,0,0
"(187, 3)",1,0,0,1
"(188, 3)",1,0,1,1
"(189, 3)",0,1,1,0
"(190, 3)",1,0,0,1
"(191, 3)",0,0,1,1
"(192, 3)",1,0,1,1
"(193, 3)",1,1,1,0
"(194, 3)",1,1,0,0
"(195, 3)",1,0,0,1
"(196, 3)",1,0,1,0
"(197, 3)",1,1,0,0
"(198, 3)",1,1,0,0
"(199, 3)",1,0,0,1
"(200, 3)",0,1,1,0
"(1, 4)",1,1,0,0
"(2, 4)",0,1,0,0
"(3, 4)",1,1,0,0
"(4, 4)",0,1,0,1
"(5, 4)",0,1,1,0
"(6, 4)",1,1,0,0
"(7, 4)",1,0,0,0
"(8, 4)",0,1,0,1
"(9, 4)",0,0,1,1
"(10, 4)",0,1,1,0
"(11, 4)",1,1,0,1
"(12, 4)",0,0,1,1
"(13, 4)",1,0,1,0
"(14, 4)",1,0,0,1
"(15, 4)",1,0,1,1
"(16, 4)",0,0,1,0
"(17, 4)",1,0,0,1
"(18, 4)",1,0,1,1
"(19, 4)",0,0,1,1
"(20, 4)",0,0,1,1
"(21, 4)",0,1,1,1
"(22, 4)",1,0,1,1
"(23, 4)",0,0,1,0
"(24, 4)",1,0,0,1
"(25, 4)",0,1,1,0
"(26, 4)",1,1,0,0
"(27, 4)",0,1,0,1
"(28, 4)",1,0,1,0
"(29, 4)",0,1,0,1
"(30, 4)",0,0,1,1
"(31, 4)",0,0,1,1
"(32, 4)",1,0,1,0
"(33, 4)",1,1,0,0
"(34, 4)",0,1,0,1
"(35, 4)",1,0,1,0
"(36, 4)",1,0,0,1
"(37, 4)",0,1,1,0
"(38, 4)",1,0,0,1
"(39, 4)",0,1,1,0
"(40, 4)",1,1,0,0
"(41, 4)",0,1,0,0
"(42, 4)",1,1,0,0
"(43, 4)",1,0,0,1
"(44, 4)",0,0,1,1
"(45, 4)",0,0,1,1
"(46, 4)",1,1,1,0
"(47, 4)",0,1,0,1
"(48, 4)",1,0,1,0
"(49, 4)",1,1,0,1
"(50, 4)",0,0,1,1
"(51, 4)",0,1,1,0
"(52, 4)",1,1,0,1
"(53, 4)",0,0,1,0
"(54, 4)",1,0,0,1
"(55, 4)",1,0,1,1
"(56, 4)",0,0,1,1
"(57, 4)",0,0,1,0
"(58, 4)",1,1,0,0
"(59, 4)",0,1,0,1
"(60, 4)",1,0,1,0
"(61, 4)",1,0,0,0
"(62, 4)",1,1,0,0
"(63, 4)",1,0,0,1
"(64, 4)",0,1,1,0
"(65, 4)",0,0,0,1
"(66, 4)",0,0,1,1
"(67, 4)",0,0,1,1
"(68, 4)",0,0,1,1
"(69, 4)",1,1,1,0
"(70, 4)",0,1,0,1
"(71, 4)",0,0,1,0
"(72, 4)",1,0,0,1
"(73, 4)",1,0,1,0
"(74, 4)",0,0,0,1
"(75, 4)",0,0,1,1
"(76, 4)",1,0,1,1
"(77, 4)",1,0,1,0
"(78, 4)",1,1,0,1
"(79, 4)",1,0,1,0
"(80, 4)",1,1,0,0
"(81, 4)",1,1,0,0
"(82, 4)",1,0,0,1
"(83, 4)",1,0,1,0
"(84, 4)",1,0,0,0
"(85, 4)",1,1,0,0
"(86, 4)",0,1,0,1
"(87, 4)",0,0,1,1
"(88, 4)",0,0,1,1
"(89, 4)",1,0,1,0
"(90, 4)",1,1,0,0
"(91, 4)",0,1,0,1
"(92, 4)",0,0,1,1
"(93, 4)",0,0,1,1
"(94, 4)",0,0,1,1
"(95, 4)",0,1,1,0
"(96, 4)",1,0,0,0
"(97, 4)",0,1,0,1
"(98, 4)",0,1,1,0
"(99, 4)",1,0,0,0
"(100, 4)",1,1,0,0
"(101, 4)",1,1,0,0
"(102, 4)",1,0,0,1
"(103, 4)",0,0,1,1
"(104, 4)",0,1,1,0
"(105, 4)",1,0,0,1
"(106, 4)",1,0,1,0
"(107, 4)",1,1,0,0
"(108, 4)",1,1,0,0
"(109, 4)",0,1,0,0
"(110, 4)",1,0,0,1
"(111, 4)",0,0,1,1
"(112, 4)",0,1,1,1
"(113, 4)",0,0,1,1
"(114, 4)",0,1,1,0
"(115, 4)",1,1,0,0
"(116, 4)",1,0,0,1
"(117, 4)",0,0,1,0
"(118, 4)",1,0,0,1
"(119, 4)",0,1,1,0
"(120, 4)",1,1,0,0
"(121, 4)",1,1,0,0
"(122, 4)",1,1,0,0
"(123, 4)",0,0,0,1
"(124, 4)",0,0,1,1
"(125, 4)",0,1,1,0
"(126, 4)",1,0,0,1
"(127, 4)",0,1,1,0
"(128, 4)",0,1,0,1
"(129, 4)",0,0,1,1
"(130, 4)",1,0,1,0
"(131, 4)",1,1,0,0
"(132, 4)",1,0,0,0
"(133, 4)",1,1,0,0
"(134, 4)",0,1,0,1
"(135, 4)",0,1,1,0
"(136, 4)",1,1,0,0
"(137, 4)",0,1,0,1
"(138, 4)",0,1,1,0
"(139, 4)",1,1,0,1
"(140, 4)",0,0,1,1
"(141, 4)",0,0,1,0
"(142, 4)",1,1,0,0
"(143, 4)",0,1,0,1
"(144, 4)",1,0,1,0
"(145, 4)",0,1,0,1
"(146, 4)",0,0,1,0
"(147, 4)",1,0,0,1
"(148, 4)",0,1,1,0
"(149, 4)",1,1,0,0
"(150, 4)",1,1,0,0
"(151, 4)",1,0,0,0
"(152, 4)",1,0,0,1
"(153, 4)",0,0,1,1
"(154, 4)",0,0,1,1
"(155, 4)",1,0,1,1
"(156, 4)",1,0,1,0
"(157, 4)",0,0,0,1
"(158, 4)",1,1,1,0
"(159, 4)",0,1,0,1
"(160, 4)",1,0,1,0
"(161, 4)",1,0,0,1
"(162, 4)",1,0,1,0
"(163, 4)",1,0,0,1
"(164, 4)",0,1,1,0
"(165, 4)",1,0,0,1
"(166, 4)",0,0,1,1
"(167, 4)",0,1,1,0
"(168, 4)",1,1,0,0
"(169, 4)",1,0,0,1
"(170, 4)",1,0,1,1
"(171, 4)",0,1,1,0
"(172, 4)",0,1,0,1
"(173, 4)",0,1,1,0
"(174, 4)",0,1,0,1
"(175, 4)",1,0,1,0
"(176, 4)",1,1,0,0
"(177, 4)",0,0,0,1
"(178, 4)",0,1,1,0
"(179, 4)",1,1,0,0
"(180, 4)",0,1,0,1
"(181, 4)",1,0,1,0
"(182, 4)",1,0,0,1
"(183, 4)",0,1,1,0
"(184, 4)",1,0,0,1
"(185, 4)",0,1,1,0
"(186, 4)",1,1,0,0
"(187, 4)",0,1,0,0
"(188, 4)",0,1,0,1
"(189, 4)",1,0,1,0
"(190, 4)",1,1,0,0
"(191, 4)",1,0,0,0
"(192, 4)",1,1,0,0
"(193, 4)",0,1,0,0
"(194, 4)",0,1,0,1
"(195, 4)",0,1,1,0
"(196, 4)",1,1,0,0
"(197, 4)",1,1,0,0
"(198, 4)",1,1,0,0
"(199, 4)",1,1,0,0
"(200, 4)",1,0,0,0
"(1, 5)",1,1,0,1
"(2, 5)",1,0,1,0
"(3, 5)",0,1,0,1
"(4, 5)",1,0,1,0
"(5, 5)",0,0,0,1
"(6, 5)",1,1,1,0
"(7, 5)",1,1,0,1
"(8, 5)",0,0,1,1
"(9, 5)",0,0,1,1
"(10, 5)",1,0,1,0
"(11, 5)",1,1,0,0
"(12, 5)",1,0,0,0
"(13, 5)",0,1,0,1
"(14, 5)",0,1,1,0
"(15, 5)",0,1,0,1
"(16, 5)",1,0,1,0
"(17, 5)",1,1,0,0
"(18, 5)",0,1,0,1
"(19, 5)",0,0,1,1
"(20, 5)",1,0,1,0
"(21, 5)",0,0,0,1
"(22, 5)",0,1,1,0
"(23, 5)",1,0,0,1
"(24, 5)",0,1,1,0
"(25, 5)",1,0,0,1
"(26, 5)",0,1,1,0
"(27, 5)",1,0,0,1
"(28, 5)",0,1,1,0
"(29, 5)",1,0,0,1
"(30, 5)",0,0,1,1
"(31, 5)",1,0,1,0
"(32, 5)",1,1,0,0
"(33, 5)",1,1,0,0
"(34, 5)",1,0,0,0
"(35, 5)",1,1,0,0
"(36, 5)",0,1,0,1
"(37, 5)",1,0,1,0
"(38, 5)",0,1,0,1
"(39, 5)",1,0,1,0
"(40, 5)",0,1,0,1
"(41, 5)",0,0,1,1
"(42, 5)",1,1,1,0
"(43, 5)",1,1,0,0
"(44, 5)",1,0,0,1
"(45, 5)",0,0,1,0
"(46, 5)",1,1,0,0
"(47, 5)",1,0,0,0
"(48, 5)",1,1,0,0
"(49, 5)",0,1,0,0
"(50, 5)",1,0,0,1
"(51, 5)",1,0,1,0
"(52, 5)",0,1,0,0
"(53, 5)",1,0,0,1
"(54, 5)",0,1,1,0
"(55, 5)",0,1,0,1
"(56, 5)",0,0,1,1
"(57, 5)",0,0,1,1
"(58, 5)",0,1,1,0
"(59, 5)",1,0,0,0
"(60, 5)",1,1,0,0
"(61, 5)",1,1,0,0
"(62, 5)",1,1,0,0
"(63, 5)",1,1,0,0
"(64, 5)",1,0,0,1
"(65, 5)",0,0,1,1
"(66, 5)",0,0,1,1
"(67, 5)",0,0,1,1
"(68, 5)",1,0,1,0
"(69, 5)",1,1,0,0
"(70, 5)",1,0,0,1
"(71, 5)",0,0,1,1
"(72, 5)",0,1,1,0
"(73, 5)",0,1,0,1
